Net_Area,Gross_Area,Room_Count,Price,Bathroom_Count,Heating_Type_Doğalgaz Sobalı,Heating_Type_Güneş Enerjisi,Heating_Type_Isıtma Yok,Heating_Type_Jeotermal,Heating_Type_Kat Kaloriferi,Heating_Type_Klimalı,Heating_Type_Kombi Doğalgaz,Heating_Type_Merkezi (Pay Ölçer),Heating_Type_Merkezi Doğalgaz,Heating_Type_Merkezi Kömür,Heating_Type_Sobalı,Heating_Type_Yerden Isıtma,City_Tier_2,City_Tier_3,Occupancy_Status_Kiracı Oturuyor,Occupancy_Status_Mülk Sahibi Oturuyor,Investment_Eligibility_Uygun,Title_Deed_Status_Hisseli Tapu,Title_Deed_Status_Kat Mülkiyeti,Title_Deed_Status_Kat İrtifakı,Title_Deed_Status_Müstakil Tapulu,Title_Deed_Status_Unknown,Building_Age_1,Building_Age_11-15,Building_Age_16-20,Building_Age_2,Building_Age_21 Ve Üzeri,Building_Age_3,Building_Age_4,Building_Age_5-10,Floor_Location_10.Kat,Floor_Location_11.Kat,Floor_Location_12.Kat,Floor_Location_13.Kat,Floor_Location_14.Kat,Floor_Location_15.Kat,Floor_Location_16.Kat,Floor_Location_17.Kat,Floor_Location_18.Kat,Floor_Location_19.Kat,Floor_Location_2.Kat,Floor_Location_21.Kat,Floor_Location_22.Kat,Floor_Location_26.Kat,Floor_Location_3.Kat,Floor_Location_4.Kat,Floor_Location_40+.Kat,Floor_Location_5.Kat,Floor_Location_6.Kat,Floor_Location_7.Kat,Floor_Location_8.Kat,Floor_Location_9.Kat,Floor_Location_Bahçe Dublex,Floor_Location_Bahçe Katı,Floor_Location_Bodrum Kat,Floor_Location_Düz Giriş (Zemin),Floor_Location_Kot 1 (-1).Kat,Floor_Location_Kot 2 (-2).Kat,Floor_Location_Kot 3 (-3).Kat,Floor_Location_Kot 4 (-4).Kat,Floor_Location_Müstakil,Floor_Location_Villa Tipi,Floor_Location_Yüksek Giriş,Floor_Location_Çatı Dubleks,Floor_Location_Çatı Katı
120,150.0,4.0,950000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,125.0,4.0,1250000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,95.0,3.0,1750000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,55.0,2.0,1300000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,150.0,4.0,1700000.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,55.0,2.0,765000.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,110.0,3.0,1700000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,750.0,5.0,3950000.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,145.0,4.0,1995000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,130.0,4.0,2550000.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
