Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
140,150.0,4,0.0,0,7.5,6,1700000.0,0,4,0,1,0,0,1.0
130,145.0,4,2.0,0,18.0,7,2085000.0,0,9,0,1,0,0,1.0
90,110.0,3,2.0,0,7.5,6,1785000.0,0,3,1,1,0,0,1.0
100,120.0,4,2.0,0,4.0,7,2090000.0,0,10,0,1,0,0,1.0
140,150.0,4,5.0,0,3.0,6,3200000.0,0,5,0,1,0,0,2.0
45,50.0,2,14.0,0,0.0,7,975000.0,0,14,0,1,0,0,1.0
220,250.0,5,8.0,0,25.0,7,4200000.0,0,12,0,1,1,0,1.0
85,110.0,3,1.0,0,0.0,7,2370000.0,0,14,0,1,0,0,2.0
125,175.0,5,1.0,0,7.5,7,2700000.0,0,10,0,1,1,0,2.0
140,150.0,4,6.0,0,25.0,7,2390000.0,0,8,0,1,1,0,1.0
110,130.0,4,17.0,0,3.0,7,3800000.0,0,3,0,1,1,0,2.0
115,130.0,3,1.0,0,7.5,6,2250000.0,0,5,0,1,0,0,1.0
105,160.0,4,7.0,0,4.0,7,1850000.0,0,13,0,1,0,0,2.0
110,130.0,4,11.0,0,4.0,7,1650000.0,0,13,1,0,0,0,2.0
95,125.0,3,5.0,0,3.0,6,1340000.0,0,5,0,0,0,0,2.0
147,150.0,4,1.0,0,4.0,6,2500000.0,0,5,0,1,0,0,2.0
80,110.0,3,3.0,0,4.0,6,1180000.0,0,12,0,0,0,0,2.0
140,150.0,4,1.0,0,0.0,6,2500000.0,0,5,0,1,0,0,3.0
110,120.0,3,1.0,1,25.0,6,2200000.0,0,2,0,1,0,0,2.0
130,140.0,3,1.0,0,7.5,6,2500000.0,0,6,0,1,0,0,1.0
45,100.0,2,0.0,0,0.0,6,1500000.0,0,2,0,0,1,1,1.0
85,125.0,3,4.0,0,4.0,6,1760000.0,0,10,0,1,1,0,2.0
100,120.0,3,6.0,0,0.0,6,2485000.0,0,10,0,1,0,0,1.0
147,170.0,4,7.0,0,13.0,7,2370000.0,0,11,1,1,0,0,1.0
80,90.0,3,1.0,1,4.0,1,1650000.0,0,13,0,1,0,0,1.0
78,100.0,3,9.0,0,0.0,7,1500000.0,0,9,0,1,1,0,1.0
40,75.0,2,1.0,1,0.0,6,1100000.0,0,10,0,0,1,0,1.0
110,120.0,4,6.0,0,13.0,7,2300000.0,0,10,1,1,0,0,1.0
120,140.0,4,0.5,0,0.0,7,1920000.0,0,5,0,0,0,0,2.0
130,165.0,4,14.0,0,1.0,7,2850000.0,0,15,1,1,0,0,2.0
80,100.0,3,2.0,0,1.0,7,1480000.0,0,5,1,1,0,0,2.0
65,85.0,3,12.0,1,4.0,6,2075000.0,0,12,0,0,1,0,1.0
80,90.0,3,12.0,0,18.0,7,1250000.0,0,12,0,0,0,1,1.0
44,45.0,2,1.0,0,0.0,6,1500000.0,0,2,0,0,0,1,1.0
45,95.0,2,1.0,0,0.0,6,1450000.0,0,2,0,0,0,1,1.0
45,70.0,2,0.0,0,0.0,6,1250000.0,0,2,0,0,1,1,1.0
78,100.0,3,0.5,0,0.0,7,1500000.0,0,9,0,1,1,0,1.0
78,100.0,3,6.0,0,0.0,7,1750000.0,0,9,0,1,1,0,1.0
39,45.0,2,4.0,0,0.0,7,1050000.0,0,13,0,0,1,0,1.0
120,155.0,4,3.0,0,4.0,7,3500000.0,0,12,0,0,0,0,2.0
37,55.0,2,4.0,0,0.0,7,990000.0,0,7,0,0,1,0,1.0
90,110.0,3,10.0,0,7.5,7,2830000.0,0,10,0,1,0,0,1.0
145,170.0,4,7.0,0,25.0,3,1750000.0,0,8,0,1,1,0,1.0
40,50.0,2,1.0,0,0.0,3,870000.0,0,11,0,1,1,0,1.0
110,130.0,4,5.0,0,0.0,6,1920000.0,0,5,0,0,0,0,2.0
75,90.0,2,7.0,0,0.0,7,1095000.0,0,11,0,1,1,0,1.0
135,165.0,4,5.0,0,25.0,6,1995000.0,0,7,0,1,0,0,1.0
140,160.0,4,3.0,0,25.0,6,1665000.0,0,7,0,1,0,0,1.0
82,105.0,3,2.0,0,0.0,7,1850000.0,0,13,1,1,0,0,2.0
100,120.0,4,0.5,0,0.0,7,2200000.0,0,10,0,1,0,0,1.0
115,130.0,4,3.0,0,0.0,7,2700000.0,0,9,0,1,1,0,2.0
150,165.0,4,3.0,0,18.0,7,2290000.0,0,10,0,1,1,0,1.0
95,120.0,3,2.0,0,3.0,6,2949000.0,0,9,0,1,0,0,1.0
130,150.0,4,2.0,0,25.0,6,2349000.0,0,5,0,1,0,0,1.0
160,200.0,4,7.0,0,13.0,7,2290000.0,0,11,0,0,0,0,1.0
140,160.0,4,3.0,0,7.5,6,2530000.0,0,5,0,1,0,0,1.0
100,125.0,3,3.0,0,7.5,6,1960000.0,0,7,0,1,0,0,1.0
132,185.0,4,2.0,0,18.0,7,3000000.0,0,10,0,1,0,0,1.0
140,165.0,4,9.0,0,18.0,6,1670000.0,0,10,0,1,0,0,1.0
80,100.0,3,4.0,0,0.0,6,1480000.0,0,4,0,0,0,0,2.0
155,180.0,4,4.0,0,0.0,7,3350000.0,0,12,0,1,1,0,2.0
175,200.0,4,7.0,0,18.0,7,3290000.0,0,9,0,1,0,0,2.0
135,160.0,4,3.0,0,18.0,7,3140000.0,0,3,0,1,0,0,2.0
160,180.0,4,3.0,0,18.0,1,2990000.0,0,7,0,1,1,0,2.0
85,110.0,3,8.0,0,1.0,7,1540000.0,0,11,0,1,1,0,1.0
140,160.0,4,9.0,0,25.0,7,1985000.0,0,9,0,1,0,0,2.0
120,125.0,4,4.0,0,7.5,1,3400000.0,0,4,0,1,0,0,2.0
160,165.0,4,3.0,0,18.0,7,2290000.0,0,10,0,1,1,0,1.0
85,110.0,3,2.0,0,0.0,7,1950000.0,0,8,0,1,1,0,2.0
43,55.0,2,4.0,0,0.0,3,800000.0,0,11,0,0,0,0,1.0
140,165.0,4,12.0,0,7.5,7,2449000.0,0,3,0,1,0,0,2.0
160,190.0,5,6.0,0,3.0,7,7249000.0,0,14,0,1,0,0,2.0
135,175.0,4,1.0,0,7.5,7,2780000.0,0,10,0,1,0,0,1.0
120,150.0,4,5.0,0,25.0,6,2450000.0,0,6,0,1,0,0,1.0
160,180.0,5,5.0,0,0.0,7,6000000.0,0,8,0,1,1,0,2.0
118,140.0,4,15.0,0,3.0,1,2880000.0,0,15,0,1,0,0,2.0
90,105.0,3,2.0,0,0.0,7,2100000.0,0,5,0,0,0,0,2.0
118,150.0,4,3.0,0,0.0,7,3100000.0,0,8,0,1,1,1,2.0
90,110.0,3,5.0,0,2.0,7,2350000.0,0,14,0,1,1,0,1.0
130,150.0,4,6.0,0,13.0,6,2090000.0,0,8,0,1,0,0,1.0
135,165.0,4,9.0,0,25.0,7,4050000.0,0,9,1,1,0,0,1.0
110,140.0,4,9.0,0,1.0,7,2270000.0,0,15,0,1,0,0,2.0
90,110.0,3,1.0,0,0.0,7,1250000.0,0,5,0,0,1,0,2.0
130,150.0,4,2.0,0,25.0,7,2320000.0,0,9,0,1,0,0,1.0
75,90.0,3,3.0,0,3.0,7,1850000.0,0,9,0,0,0,0,1.0
120,135.0,4,7.0,0,7.5,7,2390000.0,0,12,0,1,0,0,2.0
70,90.0,2,0.5,0,7.5,7,1100000.0,0,7,1,1,0,0,1.0
144,150.0,4,1.0,0,18.0,7,2450000.0,0,4,1,1,0,0,2.0
140,170.0,4,7.0,0,7.5,7,2985000.0,0,10,0,1,0,0,2.0
45,50.0,2,2.0,0,0.0,6,790000.0,0,8,0,0,0,0,1.0
200,220.0,4,8.0,0,13.0,7,3499000.0,0,9,0,1,0,0,2.0
70,85.0,3,0.5,0,7.5,3,1595000.0,0,6,0,1,1,0,2.0
85,90.0,3,7.0,0,0.0,7,2250000.0,0,8,0,1,1,0,1.0
75,90.0,3,0.0,0,2.0,6,950000.0,0,4,0,0,0,0,2.0
55,65.0,3,7.0,0,0.0,6,2250000.0,0,8,0,1,1,0,2.0
70,80.0,3,0.5,0,7.5,6,1595000.0,0,8,0,1,1,0,2.0
110,135.0,3,3.0,0,25.0,7,2395000.0,0,4,0,1,0,0,1.0
55,65.0,3,7.0,0,0.0,7,2250000.0,0,8,0,1,1,0,1.0
190,240.0,5,4.0,0,2.0,7,6599000.0,0,15,1,1,0,0,2.0
165,180.0,4,2.0,0,7.5,7,3289000.0,0,12,1,1,0,0,2.0
